month,yellow_taxi_crashes,hvfhv_crashes,all_industries_crashes,trips_yellow,miles_yellow,trips_hvfhv,miles_hvfhv,trips_all,miles_all,yellow_taxi_crashes_est,hvfhv_crashes_est,taxi_crash_rate_per_million_trips,hvfhv_crash_rate_per_million_trips,taxi_crash_rate_per_million_miles,hvfhv_crash_rate_per_million_miles,all_industries_crash_rate_per_million_trips,all_industries_crash_rate_per_million_miles
2022-01,0.0,0.0,982.0,2463900,13238030.38999974,14751591.0,68341655.59999244,17215491.0,81579685.98999217,159,823.0,64.53183976622428,55.79059235034377,12.010850203222953,12.04243579958123,57.04164929132721,12.03731036817753
2022-02,0.0,0.0,989.0,2979419,17435991.899998665,16019283.0,75856036.13499954,18998702.0,93292028.03499821,185,804.0,62.092642894470366,50.18951222723264,10.610236633570251,10.599024691576773,52.05618783851654,10.601120168906391
2022-03,0.0,0.0,1169.0,3627888,20901389.999998998,18453548.0,90714869.85700539,22081436.0,111616259.85700439,219,950.0,60.36570037443273,51.480615001516234,10.477772052481223,10.472373509409131,52.940397535739976,10.473384446832817
2022-04,0.0,0.0,1119.0,3599902,20407653.28999778,17752561.0,89935398.40399691,21352463.0,110343051.6939947,207,912.0,57.501565320389275,51.37286952569829,10.143253467631924,10.140612219264588,52.406132257435594,10.141100711109845
2022-05,0.0,0.0,1158.0,3588292,24604460.4999989,18157335.0,93840603.45202667,21745627.0,118445063.95202556,241,917.0,67.16287303262945,50.50300608541947,9.79497193202065,9.771889419581472,53.252086040103606,9.776684324042671
2022-06,0.0,0.0,1211.0,3557692,21233947.439997755,17780075.0,91906295.14400253,21337767.0,113140242.58400029,227,984.0,63.805410923711214,55.3428486662739,10.69042864693198,10.706557134723239,56.75382995793328,10.703530170539455
2022-07,0.0,0.0,1096.0,3174363,18418244.60999876,17464619.0,90158985.6310098,20638982.0,108577230.24100856,186,910.0,58.594432961825724,52.105345097994984,10.098682254389526,10.093281259000872,53.10339434377141,10.094197444226676
2022-08,0.0,0.0,1088.0,3152694,18021780.079998367,17185687.0,89424143.67701177,20338381.0,107445923.75701013,182,906.0,57.72840624557918,52.71828818946836,10.09889140762484,10.13149204170579,53.49491682745053,10.126023975190732
2022-09,0.0,0.0,1040.0,3183784,22634268.229999214,17793551.0,92477286.8610148,20977335.0,115111555.09101401,204,836.0,64.07469853482522,46.98331434799046,9.012882498653992,9.040057600915933,49.57731761446342,9.034714188143097
2022-10,0.0,0.0,1154.0,3675384,22813038.76999871,19306090.0,97677655.99700783,22981474.0,120490694.76700655,218,936.0,59.31353023248727,48.48211108515499,9.55593869794718,9.582539532159458,50.21435961853448,9.577503077988682
2022-11,0.0,0.0,1033.0,3252670,20644187.01999809,18085896.0,91069791.39001629,21338566.0,111713978.41001438,191,842.0,58.72098921808852,46.55561438592812,9.251999113114879,9.245656404263006,48.410000934458296,9.2468285052804
2022-12,0.0,0.0,1053.0,3399585,15971242.87999817,19665847.0,97212607.9449951,23065432.0,113183850.82499328,149,904.0,43.82887911318587,45.9680175483924,9.329267679386582,9.299205309989233,45.65273262603536,9.303447376323728
2023-01,0.0,0.0,944.0,3066731,11798780.37999948,18479031.0,89995431.7700013,21545762.0,101794212.15000078,109,835.0,35.54273263615231,45.18635203328573,9.238242978466628,9.2782487241573,43.81372076791715,9.273611731568304
2023-02,0.0,0.0,899.0,2914003,11271292.769998819,17960971.0,86478929.34201363,20874974.0,97750222.11201245,104,795.0,35.689736764169425,44.26264036615838,9.226980624336218,9.192990778781175,43.0659219024656,9.196910048652693
2023-03,0.0,0.0,985.0,3403660,13287691.259998323,20413539.0,100810703.45700388,23817199.0,114098394.7170022,115,870.0,33.78715852934782,42.618773746188744,8.654626131042008,8.63003599980887,41.356668347104964,8.632899721710299
2023-04,0.0,0.0,947.0,3288249,13469192.47999962,19144903.0,96124997.61700012,22433152.0,109594190.09699973,116,831.0,35.277133818028986,43.40580884635457,8.612246069855205,8.644993712364307,42.21430853764999,8.64096900722409
2023-05,0.0,0.0,1144.0,3513664,15269656.579999015,19847676.0,102288055.19901474,23361340.0,117557711.77901375,149,995.0,42.40587603140198,50.13181392118654,9.757914280480145,9.727431009066482,48.96979368478007,9.731390503334255
2023-06,0.0,0.0,1002.0,3307259,14448601.319999726,19366619.0,99433728.7840062,22673878.0,113882330.10400592,127,875.0,38.400379286895884,45.18083409396343,8.789778137500884,8.799830909496606,44.19182285447598,8.798555483409043
2023-07,0.0,0.0,992.0,2907093,13051210.539998105,19132131.0,98240789.39501648,22039224.0,111291999.93501458,116,876.0,39.90240422305031,45.786849358286325,8.888064417051144,8.91686646040364,45.01065917747376,8.913488845372955
2023-08,0.0,0.0,921.0,2824201,13507523.889999943,18322150.0,95838652.85799912,21146351.0,109346176.74799906,114,807.0,40.36539892167732,44.04504929825375,8.439740764360067,8.420402164831183,43.55361357616735,8.422791060382032
2023-09,0.0,0.0,1001.0,2846741,12167705.98999959,19851123.0,101114141.11299784,22697864.0,113281847.10299744,108,893.0,37.9381194144462,44.984860554236654,8.87595411072253,8.831603474750855,44.10106607388255,8.836367216804621
2023-10,0.0,0.0,1039.0,3522269,13830847.939999536,20186330.0,103382575.67799996,23708599.0,117213423.6179995,123,916.0,34.92067187372685,45.37724291636964,8.893164073062907,8.860293855059435,43.823762002976224,8.864172446546041
2023-11,0.0,0.0,963.0,3339731,12132351.149999795,19269250.0,98531034.60299985,22608981.0,110663385.75299965,106,857.0,31.739083177657122,44.47500551396655,8.73697098686447,8.697767190337693,42.59369318767617,8.702065217391896
2023-12,0.0,0.0,949.0,3376527,12412975.469999768,20516297.0,104616144.38299838,23892824.0,117029119.85299814,101,848.0,29.912392230241313,41.33299493568454,8.136647030689886,8.105823484523409,39.719038653614156,8.109092858188216
